না	18755
করে	10855
সে	10286
আর	9357
তার	8436
যে	7408
একটা	6163
এই	6118
আমি	5979
আমার	5687
এবং	5619
হয়	5102
ও	5083
কিন্তু	4935
থেকে	4910
মনে	4847
এক	4727
ছিল	4608
করিয়া	4449
আছে	4321
কথা	3949
হয়ে	3844
কি	3621
তাহার	3595
বলে	3397
দিকে	3270
তিনি	3263
দিয়ে	3251
জন্য	3157
করতে	3091
কিছু	3062
সেই	2820
হইয়া	2815
তো	2812
কী	2795
মধ্যে	2784
গেল	2775
কোনো	2745
সঙ্গে	2743
কাছে	2735
যায়	2729
নিয়ে	2699
এ	2644
মতো	2615
করা	2530
সময়	2470
তখন	2440
হবে	2247
যখন	2212
একটি	2210
নাই	2158
যেন	2153
তাদের	2107
সব	2098
এমন	2034
হইতে	2018
অনেক	1981
তারা	1980
তাকে	1967
নেই	1959
পারে	1930
তা	1911
হয়েছে	1864
নয়	1858
কিশোর	1779
খুব	1772
আবার	1757
কোন	1753
তোমার	1728
এটা	1705
গেছে	1690
তুমি	1687
এখন	1660
করিতে	1647
যা	1612
তবে	1563
বলল	1552
যদি	1542
তাঁর	1537
পর	1532
থাকে	1510
হচ্ছে	1491
আমাকে	1489
আমাদের	1484
পড়ে	1476
আমরা	1411
করেন	1398
ঠিক	1379
বা	1379
দেখা	1366
হইল	1365
একটু	1364
সেটা	1352
সাথে	1343
করার	1339
পরে	1326
তাই	1320
কেন	1315
এর	1308
ঘরে	1289
এসে	1259
ভালো	1247
নিজের	1232
বেশি	1232
ধরে	1231
মুসা	1231
দিল	1224
হাত	1222
দেখতে	1209
হলো	1207
দেয়	1205
কাজ	1196
একজন	1191
চলে	1190
আজ	1182
নাম	1179
শেষ	1176
দিতে	1175
দুই	1175
ল্যাংডন	1140
ওপর	1133
সমস্ত	1126
কেউ	1124
নি	1119
ওর	1118
আগে	1109
দিন	1095
দেখে	1095
তাঁহার	1082
করছে	1080
প্রথম	1071
দিয়া	1053
পর্যন্ত	1035
হাতে	1023
গিয়ে	1018
ওরা	1017
ছিলেন	1005
রবিন	1000
লাগিল	997
কারণ	991
করেছে	982
জন্যে	956
কহিল	953
শুধু	951
শশী	946
বড়	943
চোখ	934
ওই	931
রাশেদ	930
শুরু	929
মাথা	924
যাবে	924
বড়ো	920
বলিল	917
বলিয়া	916
চেষ্টা	914
লইয়া	911
করিল	901
চেয়ে	900
করল	899
সোফি	898
হল	897
বছর	896
তাহাকে	895
অন্য	894
একবার	889
বাড়ি	889
আসিয়া	885
কে	882
মুখ	877
বুঝতে	875
যেতে	863
প্রফেট	845
বের	832
হঠাৎ	829
বলতে	825
বলা	823
ছিলো	820
বিশ্বাস	808
প্রায়	807
এখানে	805
শব্দ	805
কিছুই	795
মাঝে	795
যেমন	794
যাচ্ছে	787
তাহা	783
হতে	782
বসে	779
বললো	777
আপনার	775
লোক	761
উপর	759
ফিরে	759
উঠে	753
তিন	752
পায়	752
বেশ	738
তারপর	736
আউরেলিয়ানো	733
কোথায়	731
মানুষ	729
এত	721
তুলে	716
উঠল	714
সামনে	707
আপনি	704
জানে	694
করবে	692
বাড়িতে	692
ওদের	690
করত	685
ভেতরে	685
ছাড়া	684
প্রতি	683
ওকে	679
পাওয়া	678
সম্বন্ধে	674
টাকা	663
হয়তো	663
আসে	662
ঘরের	660
এল	658
একদিন	657
আরও	654
কেবল	651
ফেলে	649
বন্ধ	648
জানি	645
করি	643
দরকার	640
ভয়	640
কয়েক	633
আরো	630
হইবে	625
পারি	622
মোহাম্মদ	612
কেমন	604
বোধ	598
মা	595
কখনো	594
বাবা	594
নতুন	593
বসিয়া	590
সেখানে	587
করলো	586
বললেন	585
করেছেন	583
হতো	583
রয়েছে	581
যারা	579
মুখে	573
সময়ে	571
গেলো	562
খুলে	559
পা	557
এসেছে	554
তৈরি	549
যার	548
হলে	545
বিশেষ	543
ছোট	540
ধীরে	538
বাড়ির	537
যেখানে	536
একেবারে	535
পারবে	535
দাঁড়িয়ে	533
চোখে	530
তোমাকে	529
মানুষের	529
চায়	528
হয়েছিল	524
উঠিল	519
তবু	518
যদিও	515
